day,mode,avg_r,review_count,stubborn_count,avg_s,avg_d
1,fsrs_only,0.900000,200,0,1.5365,5.1158
2,fsrs_only,0.913472,52,0,1.6246,5.1417
3,fsrs_only,0.881898,34,2,1.6677,5.1588
4,fsrs_only,0.852598,49,2,1.7937,5.1803
5,fsrs_only,0.834657,151,2,2.4150,5.2636
6,fsrs_only,0.920705,30,2,2.4996,5.2736
7,fsrs_only,0.899360,51,4,2.6533,5.2924
8,fsrs_only,0.893089,47,4,2.8568,5.3124
9,fsrs_only,0.889759,37,7,2.9587,5.3245
10,fsrs_only,0.884702,25,7,3.0099,5.3352
11,fsrs_only,0.866491,58,7,3.2532,5.3575
12,fsrs_only,0.875979,103,7,4.1086,5.4059
13,fsrs_only,0.926089,25,7,4.2045,5.4135
14,fsrs_only,0.912680,36,7,4.2936,5.4252
1,fsrs_df_full,0.900000,200,0,1.9289,5.1158
2,fsrs_df_full,0.926582,18,0,1.9527,5.1251
3,fsrs_df_full,0.876098,56,2,2.0205,5.1528
4,fsrs_df_full,0.877680,34,4,2.0823,5.1694
5,fsrs_df_full,0.851414,75,5,2.7530,5.2088
6,fsrs_df_full,0.862015,128,6,4.0683,5.2722
7,fsrs_df_full,0.938553,16,6,4.1046,5.2763
8,fsrs_df_full,0.912806,34,7,4.2620,5.2878
9,fsrs_df_full,0.905957,42,7,4.4754,5.3003
10,fsrs_df_full,0.907196,38,9,4.7182,5.3140
11,fsrs_df_full,0.907826,39,9,4.9231,5.3276
12,fsrs_df_full,0.911283,17,10,5.0314,5.3319
13,fsrs_df_full,0.895955,25,10,5.1586,5.3377
14,fsrs_df_full,0.891125,20,10,5.2155,5.3448
1,fsrs_df_rt_only,0.900000,200,0,1.9289,5.1158
2,fsrs_df_rt_only,0.926582,18,0,1.9814,5.1251
3,fsrs_df_rt_only,0.878463,54,1,2.1465,5.1521
4,fsrs_df_rt_only,0.885867,20,3,2.2095,5.1601
5,fsrs_df_rt_only,0.854782,72,4,2.7654,5.2021
6,fsrs_df_rt_only,0.871611,110,4,3.8695,5.2604
7,fsrs_df_rt_only,0.931458,31,5,4.0920,5.2700
8,fsrs_df_rt_only,0.926985,22,5,4.2671,5.2787
9,fsrs_df_rt_only,0.914228,27,5,4.4678,5.2892
10,fsrs_df_rt_only,0.909272,34,5,4.7242,5.3026
11,fsrs_df_rt_only,0.912664,16,6,4.9154,5.3063
12,fsrs_df_rt_only,0.901399,18,7,5.0888,5.3138
13,fsrs_df_rt_only,0.892674,21,7,5.3039,5.3205
14,fsrs_df_rt_only,0.888443,29,7,5.8034,5.3314
1,fsrs_df_acc_only,0.900000,200,0,1.5365,5.1158
2,fsrs_df_acc_only,0.913472,52,0,1.5656,5.1417
3,fsrs_df_acc_only,0.876282,34,2,1.5778,5.1588
4,fsrs_df_acc_only,0.839265,49,2,1.6048,5.1845
5,fsrs_df_acc_only,0.817549,174,3,2.4607,5.2758
6,fsrs_df_acc_only,0.918912,24,3,2.4820,5.2823
7,fsrs_df_acc_only,0.883493,47,3,2.5596,5.2984
8,fsrs_df_acc_only,0.873107,83,4,2.6855,5.3317
9,fsrs_df_acc_only,0.896308,28,4,2.7100,5.3412
10,fsrs_df_acc_only,0.866742,50,12,2.7602,5.3581
11,fsrs_df_acc_only,0.863823,33,12,2.7929,5.3678
12,fsrs_df_acc_only,0.843376,150,12,4.0763,5.4392
13,fsrs_df_acc_only,0.916509,56,12,4.2218,5.4567
14,fsrs_df_acc_only,0.918258,34,14,4.2746,5.4603
