day,mode,avg_r,review_count,stubborn_count,avg_s,avg_d
1,fsrs_only,0.900000,200,0,1.3145,5.1404
2,fsrs_only,0.897190,68,0,1.3946,5.1814
3,fsrs_only,0.861126,67,15,1.4593,5.2242
4,fsrs_only,0.850837,72,15,1.5719,5.2593
5,fsrs_only,0.839123,133,16,2.0221,5.3333
6,fsrs_only,0.894493,61,16,2.1271,5.3614
7,fsrs_only,0.887471,72,21,2.2324,5.3942
8,fsrs_only,0.883794,59,21,2.3224,5.4236
9,fsrs_only,0.874560,65,26,2.4599,5.4466
10,fsrs_only,0.877850,40,26,2.4806,5.4649
11,fsrs_only,0.857132,79,28,2.7337,5.4930
12,fsrs_only,0.874118,100,28,3.0102,5.5469
13,fsrs_only,0.908390,44,29,3.1129,5.5611
14,fsrs_only,0.896681,52,29,3.2531,5.5744
1,fsrs_df_full,0.900000,200,0,1.5265,5.1404
2,fsrs_df_full,0.903104,48,0,1.5543,5.1711
3,fsrs_df_full,0.856965,79,6,1.6054,5.2195
4,fsrs_df_full,0.858296,71,12,1.7187,5.2570
5,fsrs_df_full,0.846045,108,13,2.4039,5.3113
6,fsrs_df_full,0.869594,101,13,2.8810,5.3649
7,fsrs_df_full,0.899574,52,16,2.9273,5.3881
8,fsrs_df_full,0.882877,72,20,3.0303,5.4233
9,fsrs_df_full,0.882474,72,25,3.1779,5.4505
10,fsrs_df_full,0.885160,57,29,3.2219,5.4749
11,fsrs_df_full,0.877077,68,32,3.3118,5.4999
12,fsrs_df_full,0.878879,59,34,3.3939,5.5179
13,fsrs_df_full,0.876758,52,35,3.4285,5.5347
14,fsrs_df_full,0.869613,66,36,3.6227,5.5538
1,fsrs_df_rt_only,0.900000,200,0,1.5265,5.1404
2,fsrs_df_rt_only,0.903104,48,0,1.6025,5.1711
3,fsrs_df_rt_only,0.862469,73,6,1.7579,5.2149
4,fsrs_df_rt_only,0.869386,56,13,1.8785,5.2476
5,fsrs_df_rt_only,0.854692,96,16,2.5047,5.2954
6,fsrs_df_rt_only,0.881828,89,17,3.0092,5.3414
7,fsrs_df_rt_only,0.912091,44,20,3.1728,5.3622
8,fsrs_df_rt_only,0.902606,43,20,3.2282,5.3876
9,fsrs_df_rt_only,0.892419,47,20,3.3830,5.4076
10,fsrs_df_rt_only,0.890675,45,22,3.5511,5.4291
11,fsrs_df_rt_only,0.887502,43,24,3.8433,5.4442
12,fsrs_df_rt_only,0.883411,53,26,4.0467,5.4697
13,fsrs_df_rt_only,0.891498,42,26,4.2818,5.4854
14,fsrs_df_rt_only,0.891274,43,27,4.6664,5.5031
1,fsrs_df_acc_only,0.900000,200,0,1.3145,5.1404
2,fsrs_df_acc_only,0.897190,68,0,1.3356,5.1814
3,fsrs_df_acc_only,0.855510,67,15,1.3503,5.2242
4,fsrs_df_acc_only,0.835867,72,15,1.3723,5.2629
5,fsrs_df_acc_only,0.816759,168,18,1.9768,5.3532
6,fsrs_df_acc_only,0.894486,49,19,1.9945,5.3756
7,fsrs_df_acc_only,0.865035,68,19,2.0028,5.4077
8,fsrs_df_acc_only,0.854131,104,22,2.0639,5.4568
9,fsrs_df_acc_only,0.872994,58,22,2.0663,5.4812
10,fsrs_df_acc_only,0.849112,82,29,2.1369,5.5075
11,fsrs_df_acc_only,0.853997,60,31,2.1687,5.5249
12,fsrs_df_acc_only,0.837902,143,33,3.0233,5.5877
13,fsrs_df_acc_only,0.887959,80,33,3.0875,5.6143
14,fsrs_df_acc_only,0.887817,64,36,3.1048,5.6325
